episode,step,epsilon,episode_loss,max_episode_reward,episode_moving_average_30
1,23,0.999977575000001,-0.06331149661127711,0.0,0.0
2,46,0.9999551500000019,-0.10758763231569901,0.0,0.0
3,69,0.9999327250000029,-0.138248225703137,0.0,0.0
4,92,0.9999103000000038,-0.1711599864065647,0.0,0.0
5,115,0.9998878750000048,-0.20692323823459446,0.0,0.0
6,138,0.9998654500000057,-0.23493388073984534,0.0,0.0
7,161,0.9998430250000067,-0.2765564131550491,0.0,0.0
8,184,0.9998206000000076,-0.31424080510623753,0.0,0.0
9,207,0.9997981750000086,-0.34948146250098944,0.0,0.0
10,230,0.9997757500000095,-0.39131795102730393,0.0,0.0
11,253,0.9997533250000105,-0.4522687694989145,0.0,0.0
12,274,0.9997328500000113,-0.4910731352865696,0.0,0.0
13,393,0.9996168250000163,3.4155801529996097,2.0,0.06666666666666667
14,465,0.9995466250000192,1.1144796032458544,2.0,0.1
15,486,0.9995261500000201,-0.6580607239156961,2.0,0.1
16,509,0.999503725000021,-0.7643125029280782,2.0,0.1
17,530,0.9994832500000219,-0.6706737326458097,2.0,0.1
18,553,0.9994608250000229,-0.6975275883451104,2.0,0.1
19,622,0.9993935500000257,1.1525547103956342,2.0,0.13333333333333333
20,645,0.9993711250000267,-0.6845546327531338,2.0,0.13333333333333333
21,743,0.9992755750000307,3.016369353979826,2.0,0.2
22,764,0.9992551000000316,-0.646107173524797,2.0,0.2
23,787,0.9992326750000325,-0.6960799992084503,2.0,0.2
24,810,0.9992102500000335,-0.6910431021824479,2.0,0.2
25,881,0.9991410250000364,1.0824126256629825,2.0,0.23333333333333334
26,950,0.9990737500000393,1.0803957469761372,2.0,0.26666666666666666
27,973,0.9990513250000402,-0.6673376131802797,2.0,0.26666666666666666
28,1045,0.9989811250000432,1.0699326507747173,2.0,0.3
29,1068,0.9989587000000442,-0.6711297323927283,2.0,0.3
30,1091,0.9989362750000451,-0.7018684577196836,2.0,0.3
31,1114,0.9989138500000461,-0.6991762993857265,2.0,0.3
32,1214,0.9988163500000502,2.9917493145912886,2.0,0.36666666666666664
33,1235,0.9987958750000511,-0.6319354074075818,2.0,0.36666666666666664
34,1335,0.9986983750000552,3.058633552864194,2.0,0.43333333333333335
35,1358,0.9986759500000562,-0.7569876471534371,2.0,0.43333333333333335
36,1381,0.9986535250000571,-0.6934029413387179,2.0,0.43333333333333335
37,1404,0.9986311000000581,-0.7036234848201275,2.0,0.43333333333333335
38,1455,0.9985813750000602,1.3152843061834574,2.0,0.4666666666666667
39,1526,0.9985121500000631,1.0588964270427823,2.0,0.5
40,1549,0.998489725000064,-0.6692896466702223,2.0,0.5
41,1572,0.998467300000065,-0.7023346275091171,2.0,0.5
42,1595,0.998444875000066,-0.7023294800892472,2.0,0.5
43,1618,0.9984224500000669,-0.7038342989981174,2.0,0.43333333333333335
44,1641,0.9984000250000679,-0.7063095066696405,2.0,0.4
45,1664,0.9983776000000688,-0.7060631010681391,2.0,0.4
46,1733,0.9983103250000717,1.2158971214666963,2.0,0.43333333333333335
47,1835,0.9982108750000759,3.129043495282531,2.0,0.5
48,1858,0.9981884500000768,-0.6811974393203855,2.0,0.5
49,1881,0.9981660250000778,-0.6784504912793636,2.0,0.4666666666666667
50,1952,0.9980968000000807,1.000481796450913,2.0,0.5
51,2050,0.9980012500000848,3.104494852013886,2.0,0.5
52,2121,0.9979320250000877,1.0903808763250709,2.0,0.5333333333333333
53,2193,0.9978618250000907,0.9297728380188346,2.0,0.5666666666666667
54,2214,0.9978413500000916,-0.7156586097553372,2.0,0.5666666666666667
55,2237,0.9978189250000925,-0.6892670085653663,2.0,0.5333333333333333
56,2260,0.9977965000000935,-0.7007954744622111,2.0,0.5
57,2283,0.9977740750000944,-0.7589390091598034,2.0,0.5
58,2304,0.9977536000000953,-0.7319038128480315,2.0,0.4666666666666667
59,2325,0.9977331250000961,-0.7363263098523021,2.0,0.4666666666666667
60,2393,0.997666825000099,1.1526183979585767,2.0,0.5
61,2462,0.9975995500001018,1.1284460304304957,2.0,0.5333333333333333
62,2562,0.9975020500001059,3.0347540033981204,2.0,0.5333333333333333
63,2637,0.997428925000109,0.9762726752087474,2.0,0.5666666666666667
